Attribute,Attribute type,Acceptable values
Highlights: Cabaret (has_cabaret),Yes/No,"Yes, No"
Highlights: Fireplace (has_fireplace),Yes/No,"Yes, No"
Highlights: Karaoke (has_karaoke_nights),Yes/No,"Yes, No"
Highlights: Live music (has_live_music),Yes/No,"Yes, No"
Highlights: Live performances (has_live_performances),Yes/No,"Yes, No"
Highlights: Play area (has_area_play),Yes/No,"Yes, No"
Highlights: Quiz night (has_trivia_night),Yes/No,"Yes, No"
Highlights: Rooftop seating (has_seating_rooftop),Yes/No,"Yes, No"
Highlights: Serves local specialty (local_specialty),Yes/No,"Yes, No"
Highlights: Sport (suitable_for_watching_sports),Yes/No,"Yes, No"
Lodging options: Family rooms (has_family_rooms),Yes/No,"Yes, No"
Offerings: Alcohol (serves_alcohol),Yes/No,"Yes, No"
Offerings: All you can eat (has_all_you_can_eat_always),Yes/No,"Yes, No"
Offerings: Assembly service (has_service_assembly),Yes/No,"Yes, No"
Offerings: Beer (serves_beer),Yes/No,"Yes, No"
Offerings: Bike storage (has_secure_bicycle_storage),Yes/No,"Yes, No"
Offerings: Braille menu (has_braille_menu),Yes/No,"Yes, No"
Offerings: Buys used goods (buys_goods_used),Yes/No,"Yes, No"
Offerings: Car hire (has_car_rental),Yes/No,"Yes, No"
Offerings: Car wash (has_car_wash),Yes/No,"Yes, No"
Offerings: Cash advance (has_cash_advance),Yes/No,"Yes, No"
Offerings: Cheque cashing (has_check_cashing),Yes/No,"Yes, No"
Offerings: Cocktails (serves_cocktails),Yes/No,"Yes, No"
Offerings: Coffee (serves_coffee),Yes/No,"Yes, No"
Offerings: Comfort food (serves_comfort_food),Yes/No,"Yes, No"
Offerings: Dancing (has_dancing),Yes/No,"Yes, No"
Offerings: Drive-through (has_drive_through_covid_19_testing),Yes/No,"Yes, No"
Offerings: Ethanol-free petrol (sells_gas_ethanol_free),Yes/No,"Yes, No"
Offerings: Food (serves_food),Yes/No,"Yes, No"
Offerings: Food at bar (serves_food_at_bar),Yes/No,"Yes, No"
Offerings: Free air (has_free_air),Yes/No,"Yes, No"
Offerings: Free water refills (has_free_water_refills),Yes/No,"Yes, No"
Offerings: Full service fuel (has_full_service_gas),Yes/No,"Yes, No"
Offerings: Grilling (allows_grilling),Yes/No,"Yes, No"
Offerings: Halal food (serves_halal_food),Yes/No,"Yes, No"
Offerings: Happy-hour drinks (serves_happy_hour_drinks),Yes/No,"Yes, No"
Offerings: Happy-hour food (serves_happy_hour_food),Yes/No,"Yes, No"
Offerings: Kids' menu (has_childrens_menu),Yes/No,"Yes, No"
Offerings: Kids' shoes (sells_shoes_for_children),Yes/No,"Yes, No"
Offerings: Kids' tours (has_tours_for_children),Yes/No,"Yes, No"
Offerings: Kids' toys (sells_toys_for_children),Yes/No,"Yes, No"
Offerings: Late-night food (serves_late_night_food),Yes/No,"Yes, No"
Offerings: Matinees (has_matinees),Yes/No,"Yes, No"
Offerings: Men's clothing (sells_clothing_for_men),Yes/No,"Yes, No"
Offerings: Men's shoes (sells_shoes_for_men),Yes/No,"Yes, No"
Offerings: Oil change (has_oil_change),Yes/No,"Yes, No"
Offerings: Organic dishes (serves_organic),Yes/No,"Yes, No"
Offerings: Organic products (sells_organic_products),Yes/No,"Yes, No"
Offerings: Passport photos (has_onsite_passport_photos),Yes/No,"Yes, No"
Offerings: Prepared foods (sells_food_prepared),Yes/No,"Yes, No"
Offerings: Repair services (has_service_repair),Yes/No,"Yes, No"
Offerings: Salad bar (has_salad_bar),Yes/No,"Yes, No"
Offerings: Sauna (has_sauna),Yes/No,"Yes, No"
Offerings: Service guarantee (has_service_guarantee),Yes/No,"Yes, No"
Offerings: Sing-along screenings (has_sing_alongs),Yes/No,"Yes, No"
Offerings: Small plates (serves_small_plates),Yes/No,"Yes, No"
Offerings: Spirits (serves_liquor),Yes/No,"Yes, No"
Offerings: Tent camping (allows_camping_tent),Yes/No,"Yes, No"
Offerings: Used goods (sells_goods_used),Yes/No,"Yes, No"
Offerings: Vegan options (serves_vegan),Yes/No,"Yes, No"
Offerings: Vegetarian options (serves_vegetarian),Yes/No,"Yes, No"
Offerings: Wine (serves_wine),Yes/No,"Yes, No"
Offerings: Women's clothing (sells_clothing_for_women),Yes/No,"Yes, No"
Offerings: Women's shoes (sells_shoes_for_women),Yes/No,"Yes, No"
Payments: Cash only (requires_cash_only),Yes/No,"Yes, No"
Payments: Cheque Apetiz (accepts_cheque_apetiz_meal_voucher),Yes/No,"Yes, No"
Payments: Cheques (pay_check),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): American Express (american_express),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): China Union Pay (china_union_pay),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): Diners Club (diners_club),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): Discover (discover),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): JCB (jcb),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): Mastercard (mastercard),Yes/No,"Yes, No"
Payments: Credit cards (pay_credit_card_types_accepted): VISA (visa),Yes/No,"Yes, No"
Payments: Debit cards (pay_debit_card),Yes/No,"Yes, No"
Payments: Google Pay (pay_mobile_tez),Yes/No,"Yes, No"
Payments: Meal coupons (accepts_meal_coupons),Yes/No,"Yes, No"
Payments: NFC mobile payments (pay_mobile_nfc),Yes/No,"Yes, No"
Payments: Ticket Restaurant (accepts_ticket_restaurant_meal_voucher),Yes/No,"Yes, No"
Payments: VR (accepts_vr_meal_voucher),Yes/No,"Yes, No"
Planning: Accepts reservations (accepts_reservations),Yes/No,"Yes, No"
Planning: Appointment required (is_appointment_required_covid_19_testing),Yes/No,"Yes, No"
Planning: Appointment required (requires_appointments),Yes/No,"Yes, No"
Planning: Eligibility requirement (requires_eligibility_verification),Yes/No,"Yes, No"
Planning: Membership required (requires_membership),Yes/No,"Yes, No"
Planning: Referral required (is_prescription_required_covid_19_testing),Yes/No,"Yes, No"
Planning: Reservations required (requires_reservations),Yes/No,"Yes, No"
Planning: Tests limited to certain patients (has_covid_19_testing_patient_restrictions),Yes/No,"Yes, No"
Popular for: Good for working on laptop (suitable_for_working_on_laptop),Yes/No,"Yes, No"
Recycling: Batteries (has_recycling_batteries),Yes/No,"Yes, No"
Recycling: Clothing (has_recycling_clothing),Yes/No,"Yes, No"
Recycling: Electronics (has_recycling_electronics),Yes/No,"Yes, No"
Recycling: Glass bottles (has_recycling_glass_bottles),Yes/No,"Yes, No"
Recycling: Hazardous household materials (has_recycling_household_hazardous_waste),Yes/No,"Yes, No"
Recycling: Ink cartridges (has_recycling_ink_cartridges),Yes/No,"Yes, No"
Recycling: Light bulbs (has_recycling_light_bulbs),Yes/No,"Yes, No"
Recycling: Metal cans (has_recycling_metal_cans),Yes/No,"Yes, No"
Recycling: Plastic bags (has_recycling_plastic_bags),Yes/No,"Yes, No"
Recycling: Plastic bottles (has_recycling_plastic_bottles),Yes/No,"Yes, No"
Recycling: Plastic foam (has_recycling_plastic_foam),Yes/No,"Yes, No"
Service options: Delivery (has_delivery),Yes/No,"Yes, No"
Service options: Dine-in (serves_dine_in),Yes/No,"Yes, No"
Service options: Drive-through (has_drive_through),Yes/No,"Yes, No"
Service options: Grocery pickup (has_grocery_pickup),Yes/No,"Yes, No"
Service options: In-store pick-up (has_in_store_pickup),Yes/No,"Yes, No"
Service options: In-store shopping (has_in_store_shopping),Yes/No,"Yes, No"
Service options: Kerbside pickup (has_curbside_pickup),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): American Sign Language (american_sign_language_used),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Arabic (arabic_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Cantonese (cantonese_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Filipino (filipino_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): French (french_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): German (german_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Haitian Creole (haitian_creole_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Hindi (hindi_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Italian (italian_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Korean (korean_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Mandarin (mandarin_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Portuguese (portuguese_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Russian (russian_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Spanish (spanish_spoken),Yes/No,"Yes, No"
Service options: Language assistance (languages_spoken): Vietnamese (vietnamese_spoken),Yes/No,"Yes, No"
Service options: Meal service (has_meal_service),Yes/No,"Yes, No"
Service options: No-contact delivery (has_no_contact_delivery),Yes/No,"Yes, No"
Service options: On-site services (has_onsite_services),Yes/No,"Yes, No"
Service options: Online appointments (offers_online_appointments),Yes/No,"Yes, No"
Service options: Online care (has_video_visits),Yes/No,"Yes, No"
Service options: Online classes (offers_online_classes),Yes/No,"Yes, No"
Service options: Online estimates (offers_online_estimates),Yes/No,"Yes, No"
Service options: Outdoor seating (has_seating_outdoors),Yes/No,"Yes, No"
Service options: Outdoor services (has_outdoor_services),Yes/No,"Yes, No"
Service options: Same-day delivery (has_delivery_same_day),Yes/No,"Yes, No"
Service options: Takeaway (has_takeout),Yes/No,"Yes, No"
,,
Place page URLs: Appointment links (url_appointment),URL,
Place page URLs: COVID-19 info link (url_covid_19_info_page),URL,
Place page URLs: Inventory search URL (url_inventory_search),URL,
Place page URLs: Menu link (url_menu),URL,
Place page URLs: Order ahead links (url_order_ahead),URL,
Place page URLs: Reservations links (url_reservations),URL,
Place page URLs: Virtual care link (url_facility_telemedicine_page),URL,
,,
Amenities: In-room kitchens (kitchen_in_room),Selection,"All rooms (kitchens_in_all_rooms), Some rooms (kitchens_in_some_rooms)"
Amenities: Wi-Fi (wi_fi),Selection,"Free (free_wi_fi), Paid (paid_wi_fi)"
